Name,Times Seen,Times Skipped,Times Picked
A PSA,0,0,0
The More You Know,,,
G.I. Joe,,,
Walking on fire,,,
Walking on hot coals,,,
Tony Robbins,,,
A 3-pointer,,,
A lay-up,,,
An ally oop,,,
From downtown,,,
A lob,,,
Lob City,,,
Dropping your phone in the toilet,,,
A pick,,,
Allen Iverson,,,
Chewing on your mouth guard,,,
J.D. Salinger,,,
An only child,,,
China’s one-child policy,,,
Mao Zedong,,,
A kick flip,,,
Whack-a-mole,,,
I helped my uncle jack off a horse,,,
A typo,,,
Stonehenge,,,
George Jar Jar Martin,,,
Riot Grrrl,,,
Stepping on a rake,,,
Mitochondria,,,
#cockygate,,,
A Navy SEAL,,,
A mountain man,,,
A wrist blade,,,
Baraka,,,
The 50-foot woman,,,
Giant bugs,,,
Tromeo and Juliet,,,
The Toxic Avenger,,,
Luther from The Warriors,,,
The girl from Hereditary,,,
Paimon,,,
Flicking a can tab,,,
As easy as pie,,,
An arm and a leg,,,
Burying the hatchet,,,
Cold enough to freeze the balls off a brass monkey,,,
Hell in a hand basket,,,
"Goody, goody, gumdrops",,,
The whole kit and caboodle,,,
A loose cannon,,,
A sacred cow,,,
A leopard can’t change its spots,,,
A rose by any other name,,,
A stitch in time saves nine,,,
Two’s company,,,
Cleanliness,,,
Godliness,,,
Better the devil you know than the devil you don’t know,,,
The proof is in the pudding,,,
Judging a book by its cover,,,
If a frog had wings it wouldn’t bump its ass when it hopped,,,
Hotter than two rats fucking in a wool sock,,,
Busier than a cat covering crap on a marble floor.,,,
So fully of shit your eyes are brown,,,
Poor as a church mouse,,,
Not a pot to piss in or a window to throw it out of.,,,
The promised land,,,
As confused as a fart in a fan factory.,,,
Over-the-shoulder boulder holders,,,
Don't piss on my leg and tell me it's rainin',,,
Faster than a one-legged man in a butt-kicking competition.,,,
A witch tit,,,
Boo,,,
Opposite day,,,
Thai kids trapped in a cave,,,
Elon Musk’s child submarine,,,
Future,,,
"I’m good luv, enjoy.",,,
Racks on racks on racks,,,
Stacks on stacks on stacks,,,
World -1,,,
The Negative Zone,,,
Master Hand,,,
Talk to the hand,,,
A blazar,,,
A blazer,,,
A British accent,,,
An Australian accent,,,
A New Zealand accent,,,
The land of the blind,,,
Rugby Sevens,,,
LBJ ordering pants,,,
Matt Lauer’s button,,,
The High Evolutionary,,,
Jock itch,,,
Disney Land,,,
Disney World,,,
Serious Stratego,,,
Stratego,,,
The resistance,,,
The French Resistance,,,
The French army,,,
The French,,,
Hand-foot-and-mouth disease,,,
Ethan Frome,,,
Easter Island,,,
A brand ambassador,,,
An ant farm,,,
A Delorean,,,
Gaydar,,,
JNCOs,,,
Tom Cruise,,,
Tom Cruise running,,,
Will Smith,,,
Karaoke: Lump,,,
Bigfoot erotica,,,
Milking Lord Voldemort’s Snake,,,
Schweddy Balls,,,
This is fine.,,,
A katana,,,
A nice shirt,,,
Comfortable socks,,,
Smartwool socks,,,
Microfleece,,,
Sacha Baron Cohen,,,
A didgeridoo,,,
Paul Manafort,,,
"Let me bang, bro",,,
A non-human person,,,
Dirty money,,,
Counting so much money your hand cramps,,,
Repetitive motion disorder,,,
Tinnitus,,,
Wrist guards,,,
Elbow pads,,,
A bike helmet,,,
A hairmet,,,
A hairnet,,,
Scrubs,,,
Roger the buff kangaroo,,,
Cocoa Puffs,,,
Jack Burton,,,
Lizzie Borden,,,
Little Lord Fauntleroy (edited),,,
c.r.e.a.m,,,
Smokin' Jay Cutler,,,
Looksmaxing,,,
A wristcel,,,
Pringles,,,
Chicken fries,,,
Vodka and Red Bull,,,
Pivoting,,,
The crab dribble,,,
The Eurostep,,,
Compliance,,,
A dollhouse,,,
American Girl,,,
A fart app,,,
Unicorn blood,,,
Sleep apnea,,,
A CPAP machine,,,
A ball gag,,,
Your third eye,,,
Pink eye,,,
Pinky,,,
The Brain,,,
"Yako, Wako, and Dot",,,
New phone. Who dis?,,,
Non-college educated whites,,,
Niccolò Machiavelli,,,
The smell of your own farts,,,
Flossin’,,,
The backpack kid,,,
Pole dancing,,,
Lean bop,,,
Body painting,,,
The worm,,,
Free bleeding,,,
A power pose,,,
Omarosa,,,
¡Ay papi!,,,
Ninja,,,
Motown 25,,,
Talk to the hand,,,
An auctioneer,,,
James and the Giant Peach,,,
A professional wrestler / An amateur wrestler,,,
A three act structure,,,
Hit points,,,
Jeff Foxworthy,,,
IMAX,,,
Surround sound,,,
Complaining that movie is too quiet,,,
A mute button,,,
Mole people,,,
Deep focus,,,
Spaghetti Cat,,,
Pre-existing conditions,,,
Dick pills,,,
King Arthur,,,
Robin Hood,,,
A gritty reboot,,,
Marmaduke,,,
Ambien,,,
Rage quitting,,,
Burial at sea,,,
SEAL Team Six,,,
"Your tired, your poor, Your huddled masses yearning to breathe free",,,
Lazarus,,,
Peppa Pig,,,
DARE,,,
A cootie catcher,,,
Zydeco,,,
Karaoke: sound of silence,,,
West Side Story,,,
Alien abduction,,,
Awkwardness,,,
A riddle,,,
Slapstick,,,
Cap’n Crunch,,,
Grabass,,,
Titty Twister,,,
"Master of 1,004 Holds",,,
A bong,,,
Bong water,,,
Shrinkage,,,
A urinal,,,
Running out of toilet paper,,,
Wiping front to back,,,
Wiping back to front,,,
Wax on,,,
Wax off,,,
The unwashed masses,,,
A car wash,,,
Bingo,,,
Mongolian throat singing,,,
Smokeless tobacco,,,
Waterboarding,,,
Crystals,,,
Mad Max,,,
A hostage,,,
Moobs,,,
Leave it to beaver,,,
Ch-Ching!,,,
Dr. Ian Malcolm,,,
Jousting,,,
Sumo,,,
A bouncer,,,
Da club,,,
Lemmings,,,
Coughing up blood,,,
Menopause,,,
Mime,,,
Manramp,,,
It,,,
Cousin Itt,,,
A mosh pit,,,
Look Alive dance,,,
The homie,,,
Civil forfeiture,,,
Public servant,,,
The gig economy,,,
Anarcho capitalism,,,
Shrinkage,,,
